time_stamps	cumulative_heading_changes	avg_distance_to_closest_person	intimate_space_intrusions	personal_space_intrusions	social_space_intrusions	robot_on_person_collision	person_on_robot_collision	time_not_moving	avg_robot_linear_speed	avg_robot_angular_speed	avg_acceleration	avg_overacceleration	avg_pedestrian_velocity	avg_closest_pedestrian_velocity	social_force_on_agents	social_force_on_robot	social_work	obstacle_force_on_robot	obstacle_force_on_agents	
0.0	0.0	0.5624386819127976	0	1	0	0	0	0	0.09353408217430115	3.784586442634463e-05	0.0	0.0	1.1985169410705567	1.4191398620605469	0.13744510541054678	0.13744510541054666	0.2734783274898238	0.0	0.10041457178886048	
0.84	2.1104468032717705e-05	0.43150635332298504	1	0	0	0	0	0	0.09209476411342621	2.7494454116094857e-05	-0.0017134738819939751	-0.002039849859516637	1.296565020084381	1.4746350049972534	0.31460195886241554	0.3146019588624155	0.6058967124138988	0.0	0.14912597016664222	
1.6400000000000001	1.553562469780445e-05	0.0	1	0	0	1	0	1	0.002588641596958041	3.3226537198061123e-05	-0.11188265314558521	-0.1398533164319815	1.0223021149635314	0.5374971032142639	1.1215180414053123	1.121518041405312	2.157426144394509	0.0	1.4791388963474674	
2.45	1.9897008314728737e-05	0.015310253897396708	1	0	0	0	1	0	0.010036115534603596	3.429316348046996e-05	0.009194412268698215	0.011351126257652118	1.098629367351532	0.6955150961875916	0.7424831285950397	0.7424831285950397	1.401118983316109	0.0	0.8900290368363855	
3.29	1.91335566341877e-05	0.18784772535514438	1	0	0	0	0	1	0.0029469539877027273	4.290442666388117e-05	-0.008439478032024843	-0.010046997657172433	1.4396965503692627	1.2794201374053955	0.09663896146574892	0.09663896146574892	0.18050340446988022	0.0	0.3997654044846543	
4.13	1.7538550309836864e-05	0.6305236657651891	0	1	0	0	0	1	0.009590492583811283	3.3064319723052904e-05	0.007908974519176852	0.00941544585616292	1.2642097115516662	1.4800723791122437	0.07554047924002506	0.07554047924002509	0.14832312237938738	0.0	0.03282288357737471	
4.95	2.0709121599793434e-05	0.0	1	0	0	1	0	1	0.006230748724192381	8.34946877148468e-06	-0.004097248609291344	-0.0049966446454772495	1.3487293362617492	0.8881904482841492	0.027437428247291253	0.027437428247291253	0.050335401903945615	0.0	0.9577161305653872	
5.77	1.5356694348156452e-05	0.0	1	0	0	0	1	1	0.006999218370765448	4.8011082981247455e-05	0.0009371581055769107	0.0011428757385084278	1.2141259923577308	0.07970631867647171	0.16868170544335387	0.1686817054433539	0.33483571752736113	0.0	1.0542336549108897	
6.58	2.1090148948132992e-05	0.0	1	0	0	0	1	1	0.003294468391686678	-5.13660088472534e-05	-0.004573765406270086	-0.00564662395835813	1.2121692955493928	0.22016504406929016	0.18661477294807816	0.18661477294807816	0.3732270213687935	0.0	1.222692054632931	
7.36	1.6770558431744576e-05	0.0	1	0	0	0	1	1	0.0027134448755532503	2.6771844204631634e-05	-0.0007449019437608046	-0.0009550024920010315	1.1377032995224	0.6237990260124207	0.2629488445518145	0.2629488445518145	0.525809083103908	0.0	1.0261522364945335	
8.15	1.958583015948534e-05	0.2013486707151263	1	0	0	0	0	1	0.005172306671738625	5.09893216076307e-05	0.0031124832863106003	0.003939852261152658	1.237194538116455	1.318808913230896	0.43200833082432594	0.43200833082432616	0.8640166270756229	0.0	0.3543930361707224	
8.92	1.4523160643875599e-05	0.7815991844992904	0	1	0	0	0	1	0.002588641596958041	3.3219628676306456e-05	-0.0033554091880267315	-0.004357674270164587	1.4682514905929565	1.4809812307357788	0.00013780622340528069	0.00013780622340528023	0.0002753914095719695	0.0	0.01751539057686826	
9.73	1.989456359297037e-05	1.6898120555569833	0	0	1	0	0	0	0.010036115534603596	3.4292588679818437e-05	0.009194412268698215	0.011351126257652118	1.4749289751052856	1.4653877019882202	7.310606937996216e-06	7.3106069379961895e-06	1.4448761552945815e-05	0.0	0.00016474080624547454	
10.49	1.6720499843358994e-05	2.689518338525017	0	0	1	0	0	1	0.005325539968907833	1.299204996030312e-05	-0.0061981257443365296	-0.008155428610969118	1.2704196095466613	1.4878746271133423	9.199363699758138e-05	9.199363699758138e-05	0.00018382799458799596	0.0	1.0985833080339833e-06	
11.25	1.9081286154687405e-05	3.761054474573326	0	0	0	0	0	0	0.010100132785737514	3.5680353903444484e-05	0.006282358969512738	0.008266261801990445	1.342261004447937	1.4578787088394165	0.0025841265818020488	0.0025841265818020444	0.005167406787528672	0.0	5.934533919907084e-09	
12.05	1.513876486569643e-05	3.273176691400246	0	0	1	0	0	1	0.005036588758230209	2.3420145225827582e-05	-0.006329430034384131	-0.007911787542980164	1.351891553401947	1.4980612993240356	0.022991158698957688	0.022991158698957705	0.04598217520610643	0.0	1.1462874184032459e-07	
12.84	1.9826926290988922e-05	2.314546310627801	0	0	1	0	0	0	0.0930158942937851	2.2725356757291593e-05	0.11136620953867707	0.1409698854919963	1.3842431783676148	1.5	0.18013291881209562	0.18013291881209548	0.360252999521553	0.0	1.1807869867744183e-05	
13.63	1.723412424325943e-05	1.2470715240008095	0	0	1	0	0	1	0.00964055210351944	2.692411726457067e-05	-0.10553840783577931	-0.13359292131111306	1.0925099015235902	1.5	0.007765981440189062	0.007765981440189062	0.015508668103012024	0.0	0.0016759139864041602	
14.45	1.8826453015208244e-05	0.410425341108271	1	0	0	0	0	1	0.003893323475494981	-3.0545917979907244e-05	-0.0070088154000298285	-0.008547335853694913	1.3011204123497009	1.4786229133605957	0.008044885743589381	0.008044885743589383	0.015914757076830842	0.0	0.14134587254698613	
15.28	1.91141152754426e-05	0.6441230371489535	0	1	0	0	0	1	0.0027032275684177876	5.581454752245918e-05	-0.0014338504904544498	-0.0017275307113909036	1.3109474301338195	1.5	0.005592445524309699	0.005592445524309706	0.011118369789694372	0.0	0.04414210644112545	
16.09	1.3745739124715328e-05	1.5460971557192198	0	0	1	0	0	1	0.009551732800900936	3.8718641008017585e-05	0.008454944731460677	0.010438203372173676	1.0818785071372985	1.5	0.0017044097634282105	0.0017044097634282115	0.0033196955204259746	0.0	0.0004343413418862743	
16.88	2.321600914001465e-05	2.237805278743102	0	0	1	0	0	0	0.09219668805599213	4.249330595484935e-05	0.10461386741150783	0.1324226169765922	0.9197880625724792	0.1467157006263733	0.02353613660884142	0.02353613660884142	0.047024779256703855	0.0	1.6495171729757897e-05	
17.73	1.7264974303543568e-05	2.1328323011142514	0	0	1	0	0	1	0.007123892195522785	2.2699005057802424e-05	-0.10008564218878746	-0.11774781433974996	1.2155392229557038	0.2558462917804718	0.055013913699303064	0.05501391369930301	0.11000251773825684	0.0	2.632297198097433e-05	
18.49	1.904577948153019e-05	1.6182606439589464	0	0	1	0	0	1	0.009856010787189007	2.2800029910285957e-05	0.003594892883771344	0.00473012221548861	0.9828064262866973	1.2658631801605225	0.15261880056812777	0.15261880056812788	0.30519779519989504	0.0	0.0002793404511183137	
19.33	1.6299192793667316e-05	0.8440791203816858	0	1	0	0	0	1	0.005036588758230209	2.341318213439081e-05	-0.005737407177331902	-0.006830246639680836	1.1823453426361084	1.2851115465164185	0.8146654899453498	0.81466548994535	1.62907480553144	0.0	0.018524503079959287	
20.2	1.668685581535101e-05	0.0	1	0	0	1	0	0	0.09405301511287689	-8.519708671883564e-07	0.10231773144212263	0.11760658786450877	1.1184926867485045	0.8109659552574158	0.7988354919268428	0.798835491926842	1.5554740188433467	0.0	1.221517497881348	
21.02	2.396339550614357e-05	0.17139153469633328	1	0	0	0	0	1	0.0023451412562280893	1.0694044249248691e-05	-0.11183887055688879	-0.13638886653279123	1.160329484939575	1.064532995223999	0.1917887301688472	0.19178873016884732	0.3181211174969951	0.0	0.4872714579832973	
21.87	1.7544254660606384e-05	0.42071038539710104	1	0	0	0	0	1	0.0024395904038101435	4.677235119743273e-05	0.00011111664421418135	0.00013072546378138983	0.754811380803585	0.7303034067153931	0.04306518331603001	0.04306518331603001	0.08590041891173314	0.0	0.09910213704715716	
22.73	2.1611573174595833e-05	0.39925843387033866	1	0	0	0	0	0	0.01002248004078865	5.450364187709056e-05	0.008817313531370358	0.01025269015275623	1.1410416841506958	1.19987154006958	0.008282698552320122	0.008282698552320122	0.015590382601330399	0.0	0.1443165263126886	
23.52	1.5433644875884056e-05	0.027647740021789158	1	0	0	0	0	1	0.002902897307649255	4.605993308359757e-05	-0.009012130041948601	-0.01140775954677038	1.1281545758247375	1.2812985181808472	0.011432626333945407	0.011432626333945406	0.02186608133178295	0.0	1.4378885174559777	
24.36	1.5477649867534637e-05	0.0	1	0	0	0	1	0	0.09405301511287689	-8.541941838302591e-07	0.10851204500622338	0.12918100595978974	1.0482001066207887	0.349196195602417	0.13348023072770762	0.13348023072770746	0.2657892651944511	0.0	1.130636662980595	
25.22	2.5074928998947144e-05	0.03413090240233185	1	0	0	0	0	1	0.0032954979687929153	2.159575160476379e-05	-0.10553199667916742	-0.12271162404554352	1.1522764325141908	0.9416323900222778	0.5347057852615827	0.5347057852615819	1.068129864679765	0.0	0.8423123270575953	
26.03	1.6696052625775337e-05	0.4304292265214613	1	0	0	0	0	1	0.0065771182999014854	2.6067689759656787e-05	0.004051383124825395	0.005001707561512833	1.207913064956665	1.4635792970657349	0.035271119241075864	0.035271119241075705	0.0540956537317804	0.0	0.1402410440778546	
26.81	1.8590595573186874e-05	1.2219879920942798	0	0	1	0	0	0	0.09178177267313004	8.336711289302912e-06	0.10923673637593403	0.14004709791786416	1.2601900219917297	1.364976406097412	0.016082203266979615	0.016082203266979612	0.02980179457909004	0.0	0.0018351236487408329	
27.61	1.5254132449626923e-05	2.2236217206628597	0	0	1	0	0	1	0.006999216973781586	4.7997273213695735e-05	-0.10597819462418556	-0.13247274328023195	1.4166034936904908	1.4562996625900269	0.05859816605975805	0.05859816605975805	0.11699515367677389	0.0	1.9269988469128307e-05	
28.41	2.1646497771143913e-05	1.8872725234762853	0	0	1	0	0	0	0.01020712312310934	1.0140467566088773e-05	0.004009882686659694	0.005012353358324617	1.481103515625	1.4999481439590454	0.06548483764581073	0.06548483764581071	0.13091249858788837	0.0	6.301060399539795e-05	
29.26	1.7859507352113724e-05	1.2075212926655434	0	0	1	0	0	0	0.09356740117073059	2.063739339064341e-05	0.09807091535014265	0.11537754747075606	1.265536516904831	0.372912734746933	0.012886505017672993	0.012886505017672993	0.02574500851580999	0.0	0.0021808068976018422	
30.05	1.8090009689331055e-05	1.5202430646829734	0	0	1	0	0	1	0.0038933237083256245	-3.0551447707694024e-05	-0.11351149045874045	-0.14368543096043096	1.4846432685852051	1.4555237293243408	0.0022614434788638537	0.0022614434788638537	0.004518180569511074	0.0	0.0003867688150669258	
30.87	1.8537510186433792e-05	2.3332392682341356	0	0	1	0	0	1	0.00982738472521305	4.6492237743223086e-05	0.007236659776691984	0.00882519484962437	1.467607045173645	1.5	5.680690520425651e-07	5.68069052042566e-07	1.135613129554704e-06	0.0	6.568698408196232e-06	
31.66	1.291697844862938e-05	3.129669121309864	0	0	1	0	0	1	0.0026596500538289547	-1.4649724107584916e-05	-0.009073081862511514	-0.011484913750014574	1.2284334301948547	1.4443151950836182	5.309337945192459e-05	5.309337945192449e-05	0.00010617954109449278	0.0	1.2505272843131955e-07	
32.45	2.3574568331241608e-05	3.8413972785072366	0	0	0	0	0	1	0.006338581442832947	2.5627476134104654e-05	0.00465687517595442	0.005894778703739772	1.4650329113006593	1.482777714729309	3.0362491943536707e-05	3.0362491943536812e-05	6.0723715196376116e-05	0.0	3.859044406148999e-09	
33.24	1.521548256278038e-05	4.000793619587189	0	0	0	0	0	0	0.0938190147280693	3.437981285969727e-05	0.11073472567751437	0.14017053883229666	1.3645328760147095	1.4988293647766113	0.0002681164667339131	0.00026811646673391236	0.0005361420815208063	0.0	1.6068564813981764e-09	
34.02	1.994892954826355e-05	3.871706500406315	0	0	0	0	0	1	0.0023930189199745655	1.3613910596177448e-05	-0.11721281513858299	-0.15027283992126023	1.4277301549911499	1.4955228567123413	0.016836197255242442	0.016836197255242463	0.03365842918871698	0.0	3.236258154515337e-09	
34.82	1.3132113963365555e-05	2.790352328610239	0	0	1	0	0	1	0.002697634743526578	6.882895377202658e-06	0.00038076977944001555	0.00047596222430001944	1.2195561826229095	1.5	0.05281437336385093	0.052814373363850996	0.1056224681335672	0.0	6.716542421306149e-07	
35.65	2.4295412003993988e-05	1.7977554736434684	0	0	1	0	0	1	0.00994907133281231	7.658046342839953e-06	0.008736670589500882	0.010526109143976968	1.477230167388916	1.5	0.14821033625021976	0.14821033625021968	0.29548450259581605	0.0	0.0001004845544399835	
36.43	1.5976140275597572e-05	1.181097549798844	0	1	0	0	0	1	0.0065771182999014854	2.6057465220219456e-05	-0.00432301670886003	-0.005542329113923116	1.1374672815203666	0.08175285905599594	0.45138115634267195	0.45138115634267206	0.8955327664787041	0.0	0.0038802741060408154	
37.26	2.0227627828717232e-05	0.12684253271690726	1	0	0	0	0	1	0.0032879204954952	-1.5015533790574409e-05	-0.003962888920971428	-0.004774564965025817	1.3351276636123657	1.2608113288879395	1.6452103971749426	1.6452103971749426	3.020872366359818	0.0	0.6000340399281413	
38.07	1.6218284144997597e-05	0.03276373831716406	1	0	0	0	0	1	0.009636171162128448	3.558462776709348e-05	0.007837346502016356	0.009675736422242414	1.2045121431350707	1.0257627964019775	0.542548668664152	0.5425486686641523	1.0850693109447307	0.0	0.8731743684256799	
38.92	1.5742843970656395e-05	0.2599689034876065	1	0	0	0	0	1	0.004041988868266344	4.354716338639264e-07	-0.006581390933955417	-0.007742812863476961	1.2269626259803772	1.5	0.008964630051953871	0.008964630051953887	0.013105869035674412	0.0	0.4320623249923301	
39.75	2.439785748720169e-05	0.5804617063074258	0	1	0	0	0	1	0.005892006680369377	4.224764779792167e-05	0.0022289371230157025	0.002685466413271931	1.2352326035499572	0.7873522043228149	0.3944190796620925	0.3944190796620926	0.747114455343016	0.0	0.05598100454664721	
40.61	1.7644371837377548e-05	0.0	1	0	0	0	1	1	0.007123891729861498	2.267686795676127e-05	0.0014324244761536287	0.0016656098559925917	0.7404076337814331	0.10173818469047546	0.2755759046448269	0.27557590464482684	0.5006722793949643	0.0	1.7621082764861786	
41.42	1.999759115278721e-05	0.0	1	0	0	0	1	1	0.0032879204954952	-1.5015872122603469e-05	-0.0047357669560077744	-0.005846625871614536	1.00473695397377	0.2907312214374542	0.21662416500641907	0.21662416500641907	0.4012144748647412	0.0	1.1079481488840437	
42.23	1.6217119991779327e-05	0.01977130721166309	1	0	0	0	1	1	0.009636171162128448	3.558092794264667e-05	0.007837346502016356	0.009675736422242414	0.8666494011878967	0.8224469423294067	0.33562652290378414	0.33562652290378336	0.6711587113193115	0.0	0.8861591762077057	
43.02	1.8476508557796478e-05	0.3556074344588369	1	0	0	0	0	1	0.0028565337415784597	-2.1475489120348357e-05	-0.00858181951968353	-0.010863062683143708	1.0273052096366881	1.274528980255127	0.18492581488960108	0.18492581488960072	0.36948068978660425	0.0	0.17392691063406387	
43.87	1.9975006580352783e-05	1.069752416583276	0	1	0	0	0	0	0.09421802312135696	2.888251401600428e-05	0.1074841051526806	0.12645188841491836	1.1683743059635163	1.3213086128234863	0.003516531173298381	0.0035165311732983807	0.006814637078130863	0.0	0.005518500839696028	
44.69	1.689535565674305e-05	1.1486931827963784	0	1	0	0	0	1	0.009590493515133858	3.303411722299643e-05	-0.10320430439783307	-0.12585890780223546	1.2099079668521882	1.1851228475570679	0.00023882515523276142	0.00023882515523276175	0.00044259300483084137	0.0	0.002818378891629436	
45.55	2.1644867956638336e-05	1.6379890619509911	0	0	1	0	0	1	0.0059385462664067745	2.7032283469452523e-05	-0.0042464502892175385	-0.004937732894438998	1.2689258217811585	1.4772205352783203	0.0003141189778449881	0.0003141189778449881	0.00062379362920699	0.0	0.00038054626060386455	
46.36	1.582014374434948e-05	0.6215447038054687	0	1	0	0	0	1	0.0025886420626193285	3.3184041967615485e-05	-0.004135684202206723	-0.005105782965687313	1.2031845808029176	1.4408260583877563	0.0005085502469237132	0.0005085502469237132	0.000991823600817023	0.0	0.0353926510450175	
47.18	1.9881874322891235e-05	0.319816509400469	1	0	0	0	0	0	0.010036115534603596	3.42896455549635e-05	0.009082284721932034	0.011075956977965897	1.2830617427825928	1.3989901542663574	0.0009568335478287927	0.0009568335478287927	0.00191279658946216	0.0	0.20150035805118094	
47.98	1.8183374777436256e-05	0.9507710595248231	0	1	0	0	0	0	0.09356740117073059	2.0627099729608744e-05	0.10441410704515874	0.13051763380644843	1.2636972904205321	1.328849196434021	0.00212137097896465	0.0021213709789646477	0.004242384800998651	0.0	0.008799467823718399	
48.77	1.808488741517067e-05	1.5286530045266713	0	0	1	0	0	1	0.003893323941156268	-3.055807974305935e-05	-0.11351149016401813	-0.14368543058736472	1.1320016622543334	0.8076362609863281	0.004973595535653803	0.0049735955356538025	0.009171090128171418	0.0	0.0006080618513335173	
49.62	1.9676517695188522e-05	2.1211136370208563	0	0	1	0	0	1	0.0023930182214826345	1.3607890650746413e-05	-0.001765065552557216	-0.0020765477088908425	1.2771118402481079	1.28875732421875	0.0059026490103452865	0.0059026490103452865	0.011651894650235719	0.0	3.546550604485134e-05	
50.39	1.2076692655682564e-05	2.287402649439399	0	0	1	0	0	1	0.004670894704759121	2.7761818273575045e-05	0.00295828114711232	0.003841923567678337	1.2618858337402343	1.4079170227050781	0.08192436200885177	0.08192436200885177	0.16377623183040024	0.0	1.3523261746743396e-05	
51.16	2.3005763068795204e-05	1.5466120410720299	0	0	1	0	0	1	0.0026751228142529726	5.0744063628371805e-05	-0.002591911546111881	-0.003366118891054391	1.4270344018936156	1.4998739957809448	0.10210295167513794	0.10210295167513794	0.1929972260887236	0.0	0.00035361923227995574	
51.94	1.5025492757558823e-05	1.23893919538371	0	0	1	0	0	1	0.008918414823710918	-1.0491646662558196e-06	0.008004220524946084	0.010261821185828314	1.3693845987319946	1.0877777338027954	0.0631360914895608	0.06313609148956086	0.1156549100170209	0.0	0.0017568996399503062	
52.71	1.9231578335165977e-05	1.702280407376724	0	0	1	0	0	1	0.00982738472521305	4.648148751584813e-05	0.001180480391561211	0.0015330914176119623	1.4878547430038451	1.4830249547958374	0.1187732205062529	0.11877322050625296	0.23550310584598982	0.0	0.00015492915473632745	
53.47	1.266971230506897e-05	1.5389714357027726	0	0	1	0	0	1	0.002015786012634635	-5.592715024249628e-05	-0.01027841935865581	-0.01352423599823133	1.2222193837165833	1.4998153448104858	0.31428771381816567	0.31428771381816567	0.6285719490571946	0.0	0.00044670119524676437	
54.25	2.2448599338531494e-05	0.3878043804246969	1	0	0	0	0	1	0.0038175194058567286	2.823846079991199e-05	0.0023099146066949917	0.002961428982942297	1.441241192817688	1.435339331626892	1.0937760057913373	1.0937760057913368	2.187551039742143	0.0	0.15344268368516495	
55.04	1.590023748576641e-05	0.0	1	0	0	0	1	0	0.09350654482841492	-1.84375330718467e-05	0.11353041192728884	0.14370938218644155	1.2373878359794617	0.7241325378417969	0.6528064965303536	0.6528064965303539	1.305612957387745	0.0	1.305473536098982	
55.76	1.677614636719227e-05	0.13081683992471504	1	0	0	0	0	1	0.0029028980061411858	4.6031495003262535e-05	-0.12583839836426908	-0.17477555328370706	1.2490052938461305	1.1278355121612549	0.01442636264998031	0.01442636264998036	0.02793198911983085	0.0	0.5748576371250882	
56.37	1.5669036656618118e-05	0.3603736437387999	1	0	0	0	0	1	0.006338581442832947	2.562306690379046e-05	0.0056322679290028875	0.009233226113119488	1.4645532608032226	1.412243127822876	9.194605411206993e-05	9.194605411206993e-05	0.0001838920176163285	0.0	0.1287425762840158	
57.14	1.4482298865914345e-05	0.5007041878185423	0	1	0	0	0	1	0.002519257366657257	-1.5001672181824688e-05	-0.004960161137890506	-0.006441767711546111	1.3847172021865846	0.9431614875793457	0.004875131187751402	0.004875131187751411	0.009715844182088484	0.0	0.06435303175919989	
57.95	2.1104933694005013e-05	0.0	1	0	0	0	1	1	0.005903190467506647	4.742205419461243e-05	0.004177695186233814	0.0051576483780664375	1.0889361590147018	0.08673988282680511	0.21838190470259883	0.21838190470259883	0.4348888776115725	0.0	1.752558871758323	
58.81	1.629185862839222e-05	0.0	1	0	0	0	1	1	0.0069992151111364365	4.797746078111231e-05	0.0012744472600346387	0.0014819154186449287	1.2115285471081734	0.11478928476572037	0.3359074989874736	0.33590749898747385	0.4708440254052058	0.0	1.1586642757474404	
59.67	2.071075141429901e-05	0.0	1	0	0	0	1	1	0.0033067844342440367	-3.687067874125205e-05	-0.004293524042898139	-0.0049924698173234175	1.096748912334442	0.40344512462615967	0.3212515370091876	0.32125153700918757	0.3652822331628284	0.0	1.132369078559441	
60.5	2.0335428416728973e-05	0.08977284677587039	1	0	0	0	0	0	0.09421802312135696	2.887648224714212e-05	0.10953161287603967	0.13196579864583094	1.2075133919715881	1.06773841381073	0.8043781990190595	0.8043781990190593	1.565262245573625	0.0	0.6201625273218724	
61.32	1.625088043510914e-05	0.1253580061627384	1	0	0	0	0	0	0.0938190147280693	3.437817940721288e-05	-0.0004865956015703155	-0.0005934092702077018	0.9904345750808716	1.3105896711349487	0.010598713051080389	0.010598713051080386	0.016824768840819283	0.0	0.5544515981913889	
62.17	2.2104475647211075e-05	0.3859273443894944	1	0	0	0	0	1	0.009856010787189007	2.2794001779402606e-05	-0.09878000463632977	-0.11621177016038797	1.3076172709465026	1.5	0.006012470553079973	0.006012470553079973	0.012004708962897192	0.0	0.14175358174102862	
62.98	1.5127472579479218e-05	1.2086408118442171	0	0	1	0	0	0	0.09109020978212357	4.982854443369433e-05	0.10028913456164759	0.12381374637240443	1.3260138511657715	1.5	0.0033500029030119447	0.003350002903011948	0.006696450503063705	0.0	0.002388122648380677	
63.83	2.0144274458289146e-05	2.2501144300436944	0	0	1	0	0	1	0.0033067846670746803	-3.687100615934469e-05	-0.10327461778241045	-0.1214995503322476	1.3011636972427367	0.5995621681213379	0.0011565820112834813	0.001156582011283482	0.002109219882079506	0.0	2.142807045877326e-05	
64.61	1.8513761460781097e-05	2.1883190239108634	0	0	1	0	0	1	0.004454180132597685	1.997037179535255e-05	0.0014710198275935955	0.0018859228558892249	1.2481273353099822	0.24764284491539001	7.030975575633587e-05	7.030975575633584e-05	0.00012151488226680325	0.0	1.808099139518071e-05	
65.41	1.8336810171604156e-05	2.070431200433315	0	0	1	0	0	1	0.0038933244068175554	-3.056397326872684e-05	-0.0007010696572251618	-0.0008763370715314522	1.25497887134552	0.2801281213760376	2.241330194677345e-05	2.241330194677345e-05	3.964054859109807e-05	0.0	4.736010818989408e-05	
66.23	1.8524006009101868e-05	1.342470166197475	0	0	1	0	0	1	0.00982738472521305	4.647483365260996e-05	0.007236658924872556	0.00882519381082019	1.0860291182994843	1.499758005142212	0.00017879443092919448	0.00017879443092919434	0.0003156112614199103	0.0	0.0010670810310238615	
67.04	1.3527227565646172e-05	1.3224460344750102	0	0	1	0	0	0	0.09332023561000824	2.7688254704116844e-05	0.10307759368493233	0.12725628849991644	1.2188340723514557	1.3473610877990723	0.00011679293406007701	0.00011679293406007716	0.00019102673562986666	0.0	0.0011537998126184925	
