experiment_tag	time_to_reach_goal	path_length	cumulative_heading_changes	avg_distance_to_closest_person	minimum_distance_to_people	maximum_distance_to_people	intimate_space_intrusions	personal_space_intrusions	social_space_intrusions	group_intimate_space_intrusions	group_personal_space_intrusions	group_social_space_intrusions	completed	minimum_distance_to_target	final_distance_to_target	robot_on_person_collision	person_on_robot_collision	time_not_moving	avg_robot_linear_speed	avg_robot_angular_speed	avg_acceleration	avg_overacceleration	avg_pedestrian_velocity	avg_closest_pedestrian_velocity	social_force_on_agents	social_force_on_robot	social_work	obstacle_force_on_robot	obstacle_force_on_agents	
1	49.0	18.34927373089635	12.531175664054238	2.893962739760074	0.7205476669835573	16.44038803442718	0.0	4.0	72.0	0.0	0.0	0.0	False	0.3246567853045813	0.6594786276409741	0	0	3.92	0.3866327266395092	0.2586657790874597	0.12265968587249518	0.12265968587249518	1.0159615274270375	0.3256705951690674	0.91988802763643	0.9198880276364294	1.8306084769333786	0.0	0.0	
1	48.99	18.216880837203828	12.477289007230205	2.903318998730224	0.7805113209328081	16.266697883732164	0.0	4.0	72.0	0.0	0.0	0.0	False	0.3687210488942581	0.6682507019452996	0	0	2.9394	0.3860462530981749	0.26739584173774344	0.11489298767995614	0.1148645947405959	1.0059445945421854	0.3131458079814911	0.8917417369317687	0.8917417369317684	1.7674222698457085	0.0	0.0	
1	48.0	18.413306739606142	12.598223273186953	2.8343943985462077	0.8268093248938746	16.417883947635687	0.0	4.081632653061225	75.51020408163265	0.0	0.0	0.0	False	0.3364690040928086	0.6512024935596684	0	0	1.9591836734693877	0.3990667991112081	0.24613703884394028	0.12293212095807705	0.12293212095807705	0.9970776953411346	0.3442737593942759	0.8399508886275319	0.8399508886275321	1.6748572950860399	0.0	0.0	
1	47.99	18.402069780130557	12.627229858898566	2.837536448509974	0.7470568689920605	16.284764318543136	0.0	4.081632653061225	75.51020408163265	0.0	0.0	0.0	False	0.34195400899659195	0.6481179449237111	0	0	0.0	0.39111832476087977	0.2609357229573793	0.12590687146317808	0.12594787839923974	1.0087023113860565	0.3545393591024438	0.7124884042050524	0.7124884042050524	1.4152072045222517	0.0	0.0	
1	46.99	18.21770759687671	12.403649871131414	2.7992545306850194	0.7720946251458405	16.390851849998242	0.0	4.166666666666666	79.16666666666666	0.0	0.0	0.0	False	0.3587102882342967	0.6624647238532615	0	0	1.9579166666666667	0.4064499803256088	0.2822622734729521	0.1212309539260857	0.12125414469123051	1.016013824691375	0.36015737305084866	0.7248618078822041	0.7248618078822046	1.4406202547102378	0.0	0.0	
1	47.99	18.24193677643136	12.5436710073948	6.073172266283438	3.9987993590574646	8.805142202530156	0.0	0.0	0.0	0.0	0.0	0.0	False	0.3466229012776437	0.6526532946501055	0	0	1.9587755102040818	0.4018172353924233	0.2732383418966047	0.120455507167917	0.12048078033459698	1.3668997889878798	1.3668997889878798	0.016773607250786072	0.01677360725078607	0.0335472143302204	0.0	0.0	
1	48.99	18.352271542443958	12.61549839791703	6.099247703550487	4.010665697128611	8.85230598239647	0.0	0.0	0.0	0.0	0.0	0.0	False	0.3421536724965696	0.6778915617152157	0	0	3.9192	0.38838142083026467	0.26941401519055946	0.1253751306727792	0.1253848174462041	1.3781434777379036	1.3781434777379036	0.01844899727059274	0.018448997270592737	0.03689799452799686	0.0	0.0	
1	49.0	18.385936386904124	12.691257380017554	6.08903565807918	4.2707908172105595	8.850782421977343	0.0	0.0	0.0	0.0	0.0	0.0	False	0.3345710838216923	0.6658790124760099	0	0	2.94	0.3801293422281742	0.2497507745033363	0.11920876782387495	0.11920876782387495	1.3846848093718291	1.3846848093718291	0.016985668029340945	0.016985668029340966	0.03397133603136064	0.0	0.0	
1	49.0	18.395898367500134	12.595445654656281	6.4856942216241205	4.9388793061587855	8.769063345731086	0.0	0.0	0.0	0.0	0.0	0.0	False	0.3577882138471705	0.6857175747283565	0	0	1.96	0.3827530642785132	0.26976775568793526	0.12315834349021876	0.12316438624267803	1.0417976382561027	1.0417976382561027	0.003738412962821821	0.003738412962821822	0.007476825953965618	0.0	0.0	
1	46.99	18.307107945563608	12.326644826225014	6.010147946123172	3.8222251777910037	8.484433782516707	0.0	0.0	0.0	0.0	0.0	0.0	False	0.3372457402507486	0.6658292090875514	0	0	0.9789583333333334	0.43813634224352427	0.2681520989044657	0.15575706517245066	0.15604716132506277	1.3948490320860099	1.3948490320860099	0.012319666768728194	0.012319666768728199	0.024639333466865417	0.0	0.0	
1	49.0	18.41371879064616	12.560889073075735	6.079107795420892	4.297840196563225	8.869465504842653	0.0	0.0	0.0	0.0	0.0	0.0	False	0.3295529750246612	0.6672312267395958	0	0	1.96	0.39080768887884915	0.24815002374351025	0.12513982186806646	0.1251408065973714	1.397920258641243	1.397920258641243	0.017880960228043422	0.017880960228043422	0.03576192070267089	0.0	0.0	
1	49.0	18.313350741889106	12.553944905706224	6.158493280519642	4.484816190938038	8.786805485970225	0.0	0.0	0.0	0.0	0.0	0.0	False	0.34276518666549055	0.6601174345810432	0	0	1.96	0.3920686200447381	0.25631625601963604	0.1243946350327298	0.12439089138973705	0.9436784311756492	0.9436784311756492	0.0016453850365147579	0.0016453850365147579	0.003290770068232728	0.0	0.0	
1	48.96	18.227197122931774	12.500022901232363	6.328225613987161	3.938447751130636	8.84939174966878	0.0	0.0	0.0	0.0	0.0	0.0	False	0.3655776988107883	0.6521101518982051	0	0	2.9376	0.3798234300222248	0.26365946262783835	0.11922968025244439	0.11942805803631913	1.3891003282368184	1.3891003282368184	0.01104388998528783	0.011043889985287832	0.022087780146879336	0.0	0.0	
1	49.67	18.370064058326967	12.357877716199503	6.065662667872994	4.014198622472895	8.80309920668186	0.0	0.0	0.0	0.0	0.0	0.0	False	0.3212341689648298	0.6569749971496764	0	0	0.973921568627451	0.410900218768374	0.25193984051179097	0.14737057581977894	0.15445144749798634	1.3980382856200724	1.3980382856200724	0.013749078404900215	0.013749078404900219	0.027498156561314355	0.0	0.0	
