time_stamps	cumulative_heading_changes	avg_distance_to_closest_person	intimate_space_intrusions	personal_space_intrusions	social_space_intrusions	robot_on_person_collision	person_on_robot_collision	time_not_moving	avg_robot_linear_speed	avg_robot_angular_speed	avg_acceleration	avg_overacceleration	avg_pedestrian_velocity	avg_closest_pedestrian_velocity	social_force_on_agents	social_force_on_robot	social_work	obstacle_force_on_robot	obstacle_force_on_agents	behavior_active	
0.0	0.0	2.0093461209127215	0	0	1	0	0	0	0.09353408217430115	3.784586442634463e-05	0.0	0.0	0.6000000238418579	0.6000000238418579	0.0008868744136863681	0.0008868744136863681	0.001773748861728731	0.0	0.0002361965598538518	1	
0.84	2.1104468032717705e-05	2.0822316031310035	0	0	1	0	0	0	0.09209476411342621	2.7494454116094857e-05	-0.0017134738819939751	-0.002039849859516637	0.6329420208930969	0.6329420208930969	0.0020909107996979425	0.0020909107996979425	0.004181821714983292	0.0	0.00018049191567115486	0	
1.6400000000000001	1.553562469780445e-05	2.15523991282701	0	0	1	0	0	1	0.002588641596958041	3.3226537198061123e-05	-0.11188265314558521	-0.1398533164319815	0.6392117738723755	0.6392117738723755	0.004043164325123099	0.004043164325123099	0.008086328522478608	0.0	0.00010270279744872823	0	
2.45	1.9897008314728737e-05	2.2329643691130636	0	0	1	0	0	0	0.010036115534603596	3.429316348046996e-05	0.009194412268698215	0.011351126257652118	0.6000000238418579	0.6000000238418579	0.005373724330968358	0.005373724330968358	0.010747448601580358	0.0	6.177277828101069e-05	1	
3.29	1.91335566341877e-05	2.286806136219444	0	0	1	0	0	1	0.0029469539877027273	4.290442666388117e-05	-0.008439478032024843	-0.010046997657172433	1.4410289525985718	1.4410289525985718	0.08827755289640779	0.08827755289640779	0.17655510144796724	0.0	4.2210391256958246e-05	0	
4.13	1.7538550309836864e-05	2.675102571947069	0	0	1	0	0	1	0.009590492583811283	3.3064319723052904e-05	0.007908974519176852	0.00941544585616292	1.498669147491455	1.498669147491455	0.07402600240706553	0.07402600240706556	0.1480520058870231	0.0	5.931102805334376e-06	0	
4.95	2.0709121599793434e-05	3.4011555916293945	0	0	1	0	0	1	0.006230748724192381	8.34946877148468e-06	-0.004097248609291344	-0.0049966446454772495	1.4999828338623047	1.4999828338623047	0.014793382408890023	0.014793382408890023	0.02958676536646773	0.0	1.6612014519523655e-07	0	
5.77	1.5356694348156452e-05	4.32531384293124	0	0	0	0	0	1	0.006999218370765448	4.8011082981247455e-05	0.0009371581055769107	0.0011428757385084278	1.4999994039535522	1.4999994039535522	0.0024609504341121962	0.002460950434112198	0.004921900954001789	0.0	1.7692763920607035e-09	0	
6.58	2.1090148948132992e-05	4.371693327768916	0	0	0	0	0	1	0.003294468391686678	-5.13660088472534e-05	-0.004573765406270086	-0.00564662395835813	1.3407347202301025	1.3407347202301025	9.7939319782916e-21	9.793931978291393e-21	1.9587893410380797e-20	0.0	1.3696251910388924e-09	0	
7.36	1.6770558431744576e-05	3.9798147019719066	0	0	0	0	0	1	0.0027134448755532503	2.6771844204631634e-05	-0.0007449019437608046	-0.0009550024920010315	1.4748587608337402	1.4748587608337402	7.30688668307863e-25	7.306886683078525e-25	7.30688668307863e-25	0.0	8.977209198235414e-09	0	
