time_stamps	cumulative_heading_changes	avg_distance_to_closest_person	intimate_space_intrusions	personal_space_intrusions	social_space_intrusions	robot_on_person_collision	person_on_robot_collision	time_not_moving	avg_robot_linear_speed	avg_robot_angular_speed	avg_acceleration	avg_overacceleration	avg_pedestrian_velocity	avg_closest_pedestrian_velocity	social_force_on_agents	social_force_on_robot	social_work	obstacle_force_on_robot	obstacle_force_on_agents	behavior_active	
9.73	1.989456359297037e-05	6.1718812911236824	0	0	0	0	0	0	0.010036115534603596	3.4292588679818437e-05	0.009194412268698215	0.011351126257652118	1.5	1.5	3.641523861237936e-07	3.641523861237936e-07	7.283047708146903e-07	0.0	1.6473243125494919e-13	0	
10.49	1.6720499843358994e-05	7.150665909461629	0	0	0	0	0	1	0.005325539968907833	1.299204996030312e-05	-0.0061981257443365296	-0.008155428610969118	1.5	1.5	1.6831855785201082e-07	1.6831855785201082e-07	3.366371222716891e-07	0.0	1.1969910680386373e-15	0	
11.25	1.9081286154687405e-05	8.167416121231147	0	0	0	0	0	0	0.010100132785737514	3.5680353903444484e-05	0.006282358969512738	0.008266261801990445	1.5	1.5	5.920090514328065e-08	5.920090514328085e-08	1.1840180887807135e-07	0.0	7.284302193832834e-18	0	
12.05	1.513876486569643e-05	8.66682504376462	0	0	0	0	0	1	0.005036588758230209	2.3420145225827582e-05	-0.006329430034384131	-0.007911787542980164	0.954613983631134	0.954613983631134	1.3342545578838953e-05	1.3342545578838904e-05	2.6685091150343112e-05	0.0	5.935151176014451e-19	0	
12.84	1.9826926290988922e-05	7.788809076388553	0	0	0	0	0	0	0.0930158942937851	2.2725356757291593e-05	0.11136620953867707	0.1409698854919963	1.2173137664794922	1.2173137664794922	1.7503753355916232e-05	1.750375335591617e-05	3.500750639846327e-05	0.0	4.7598480457918473e-17	0	
13.63	1.723412424325943e-05	6.791898122431776	0	0	0	0	0	1	0.00964055210351944	2.692411726457067e-05	-0.10553840783577931	-0.13359292131111306	1.4153735637664795	1.4153735637664795	1.0213920177464243e-05	1.0213920177464224e-05	2.04278403546576e-05	0.0	6.907538438265769e-15	1	
14.45	1.8826453015208244e-05	5.714766377908532	0	0	0	0	0	1	0.003893323475494981	-3.0545917979907244e-05	-0.0070088154000298285	-0.008547335853694913	1.4956482648849487	1.4956482648849487	9.567396069251719e-05	9.567396069251701e-05	0.00019134792115147012	0.0	1.4914282916306254e-12	1	
15.28	1.91141152754426e-05	4.7492651935189185	0	0	0	0	0	1	0.0027032275684177876	5.581454752245918e-05	-0.0014338504904544498	-0.0017275307113909036	1.4996418952941895	1.4996418952941895	3.346825114236474e-05	3.346825114236474e-05	6.693650292832665e-05	0.0	1.8493118147944188e-10	0	
16.09	1.3745739124715328e-05	3.9341666253539644	0	0	0	0	0	1	0.009551732800900936	3.8718641008017585e-05	0.008454944731460677	0.010438203372173676	1.499987006187439	1.499987006187439	3.248356130932994e-06	3.248356130932994e-06	6.496712410006044e-06	0.0	1.1014256173780268e-08	1	
16.88	2.321600914001465e-05	3.3547194685507193	0	0	1	0	0	0	0.09219668805599213	4.249330595484935e-05	0.10461386741150783	0.1324226169765922	0.17261087894439697	0.17261087894439697	1.7385166987945745e-06	1.7385166987945745e-06	3.4770334426933734e-06	0.0	2.1066279032311286e-07	1	
17.73	1.7264974303543568e-05	2.4979783847234898	0	0	1	0	0	1	0.007123892195522785	2.2699005057802424e-05	-0.10008564218878746	-0.11774781433974996	1.3271986246109009	1.3271986246109009	2.3624371368305724e-18	2.3624371368305724e-18	4.72487427206391e-18	0.0	1.4849671970296185e-05	1	
18.49	1.904577948153019e-05	1.6182606439589464	0	0	1	0	0	1	0.009856010787189007	2.2800029910285957e-05	0.003594892883771344	0.00473012221548861	1.2658631801605225	1.2658631801605225	6.248706759255707e-14	6.248706759255774e-14	1.249741382319125e-13	0.0	0.0011730481637641788	1	
19.33	1.6299192793667316e-05	0.8440791203816858	0	1	0	0	0	1	0.005036588758230209	2.341318213439081e-05	-0.005737407177331902	-0.006830246639680836	1.2851115465164185	1.2851115465164185	1.8957454298038123e-08	1.8957454298038123e-08	3.7914908571087854e-08	0.0	0.05701233074069023	1	
20.2	1.668685581535101e-05	0.5784285057884349	0	1	0	0	0	0	0.09405301511287689	-8.519708671883564e-07	0.10231773144212263	0.11760658786450877	1.4695470333099365	1.4695470333099365	0.022248316645639588	0.02224831664563963	0.044496633201854874	0.0	0.30257004499435425	1	
21.02	2.396339550614357e-05	1.2596748289959274	0	0	1	0	0	1	0.0023451412562280893	1.0694044249248691e-05	-0.11183887055688879	-0.13638886653279123	1.5	1.5	0.15639402928424279	0.15639402928424287	0.3127880639083425	0.0	0.008767976425588131	1	
21.87	1.7544254660606384e-05	2.3487290390556805	0	0	1	0	0	1	0.0024395904038101435	4.677235119743273e-05	0.00011111664421418135	0.00013072546378138983	1.5	1.5	0.042710592020855025	0.042710592020855025	0.08542118312846192	0.0	4.0803679439704865e-05	1	
22.73	2.1611573174595833e-05	3.5552160694359873	0	0	1	0	0	0	0.01002248004078865	5.450364187709056e-05	0.008817313531370358	0.01025269015275623	1.5	1.5	0.00756686642368451	0.00756686642368451	0.015133733354258688	0.0	1.0491677215895834e-07	1	
23.52	1.5433644875884056e-05	3.7732805978049466	0	0	0	0	0	1	0.002902897307649255	4.605993308359757e-05	-0.009012130041948601	-0.01140775954677038	1.2803313732147217	1.2803313732147217	7.357837181789415e-22	7.357837181789363e-22	1.4712435616343435e-21	0.0	3.438090701024521e-08	1	
24.36	1.5477649867534637e-05	3.3029191450834965	0	0	1	0	0	0	0.09405301511287689	-8.541941838302591e-07	0.10851204500622338	0.12918100595978974	1.5	1.5	2.4101850435380172e-24	2.4101850435380172e-24	2.4101850435380172e-24	0.0	3.256915590554854e-07	0	
25.22	2.5074928998947144e-05	3.150705696157239	0	0	1	0	0	1	0.0032954979687929153	2.159575160476379e-05	-0.10553199667916742	-0.12271162404554352	1.5	1.5	1.857245442139895e-16	1.857245442139895e-16	3.7144909104480566e-16	0.0	6.846923952252837e-07	0	
26.03	1.6696052625775337e-05	3.343916753376705	0	0	1	0	0	1	0.0065771182999014854	2.6067689759656787e-05	0.004051383124825395	0.005001707561512833	1.5	1.5	2.7342163058246845e-11	2.7342163058247042e-11	5.468432631397487e-11	0.0	2.834498218362569e-07	0	
26.81	1.8590595573186874e-05	3.8098724268280817	0	0	0	0	0	0	0.09178177267313004	8.336711289302912e-06	0.10923673637593403	0.14004709791786416	1.5	1.5	1.3505457061794674e-08	1.3505457061794626e-08	2.701091337064348e-08	0.0	3.282689675643269e-08	0	
27.61	1.5254132449626923e-05	4.508756948453157	0	0	0	0	0	1	0.006999216973781586	4.7997273213695735e-05	-0.10597819462418556	-0.13247274328023195	1.5	1.5	2.192815616910803e-07	2.192815616910803e-07	4.3856313592298017e-07	0.0	7.918352640245985e-10	0	
28.41	2.1646497771143913e-05	5.365613212157167	0	0	0	0	0	0	0.01020712312310934	1.0140467566088773e-05	0.004009882686659694	0.005012353358324617	1.5	1.5	4.5680232483693417e-07	4.5680232483693417e-07	9.136046505803448e-07	0.0	9.803506964556341e-12	0	
29.26	1.7859507352113724e-05	6.386482535671716	0	0	0	0	0	0	0.09356740117073059	2.063739339064341e-05	0.09807091535014265	0.11537754747075606	1.5	1.5	3.3697344542247783e-07	3.3697344542247783e-07	6.739468883495244e-07	0.0	5.614287517958366e-14	0	
30.05	1.8090009689331055e-05	7.398380227212455	0	0	0	0	0	1	0.0038933237083256245	-3.0551447707694024e-05	-0.11351149045874045	-0.14368543096043096	1.5	1.5	1.5299841775067978e-07	1.5299841775067978e-07	3.0599682813608743e-07	0.0	3.4593288787008656e-16	0	
30.87	1.8537510186433792e-05	8.488364379261842	0	0	0	0	0	1	0.00982738472521305	4.6492237743223086e-05	0.007236659776691984	0.00882519484962437	1.5	1.5	5.3801897399954185e-08	5.3801897399954185e-08	1.0760379544777694e-07	0.0	1.4582414581582547e-18	0	
31.66	1.291697844862938e-05	8.422557698328198	0	0	0	0	0	1	0.0026596500538289547	-1.4649724107584916e-05	-0.009073081862511514	-0.011484913750014574	1.3056071996688843	1.3056071996688843	5.245136628426834e-05	5.2451366284268246e-05	0.00010490273336680829	0.0	2.0073760611495453e-18	0	
32.45	2.3574568331241608e-05	7.379589197707711	0	0	0	0	0	1	0.006338581442832947	2.5627476134104654e-05	0.00465687517595442	0.005894778703739772	1.5	1.5	3.0257283432457123e-05	3.0257283432457228e-05	6.051456781178852e-05	0.0	3.6560138995202543e-16	0	
33.24	1.521548256278038e-05	6.3030183931690456	0	0	0	0	0	0	0.0938190147280693	3.437981285969727e-05	0.11073472567751437	0.14017053883229666	1.5	1.5	1.754007964295044e-05	1.7540079642950504e-05	3.508015790388628e-05	0.0	7.879003574790336e-14	0	
34.02	1.994892954826355e-05	5.271559653187906	0	0	0	0	0	1	0.0023930189199745655	1.3613910596177448e-05	-0.11721281513858299	-0.15027283992126023	1.5	1.5	6.609779867719511e-06	6.609779867719511e-06	1.321955989769532e-05	0.0	1.3599591071333794e-11	0	
34.82	1.3132113963365555e-05	4.301438482887206	0	0	0	0	0	1	0.002697634743526578	6.882895377202658e-06	0.00038076977944001555	0.00047596222430001944	1.5	1.5	5.385168018720309e-06	5.385168018720309e-06	1.0770335715379063e-05	0.0	1.7378837258164026e-09	0	
35.65	2.4295412003993988e-05	3.55333439743902	0	0	1	0	0	1	0.00994907133281231	7.658046342839953e-06	0.008736670589500882	0.010526109143976968	1.5	1.5	1.4151374769007266e-06	1.4151374769007266e-06	2.8302749667581697e-06	0.0	7.553487080258492e-08	0	
36.43	1.5976140275597572e-05	3.032895852326207	0	0	1	0	0	1	0.0065771182999014854	2.6057465220219456e-05	-0.00432301670886003	-0.005542329113923116	1.120365023612976	1.120365023612976	4.0897336686724895e-16	4.0897336686724895e-16	8.17946734776296e-16	0.0	1.0421121032777592e-06	0	
37.26	2.0227627828717232e-05	2.100917715934349	0	0	1	0	0	1	0.0032879204954952	-1.5015533790574409e-05	-0.003962888920971428	-0.004774564965025817	1.4727102518081665	1.4727102518081665	2.504292149773867e-19	2.504292149773867e-19	5.008584297711514e-19	0.0	0.00010561450471868739	0	
38.07	1.6218284144997597e-05	1.204992458146131	0	0	1	0	0	1	0.009636171162128448	3.558462776709348e-05	0.007837346502016356	0.009675736422242414	1.4501113891601562	1.4501113891601562	1.9985187727805345e-11	1.9985187727805555e-11	3.99703765788514e-11	0.0	0.009264843538403511	1	
38.92	1.5742843970656395e-05	0.6691353570362577	0	1	0	0	0	1	0.004041988868266344	4.354716338639264e-07	-0.006581390933955417	-0.007742812863476961	1.4360847473144531	1.4360847473144531	0.0025241932440860765	0.0025241932440860926	0.005048386387558152	0.0	0.19341324269771576	1	
39.75	2.439785748720169e-05	0.9486593462097428	0	1	0	0	0	1	0.005892006680369377	4.224764779792167e-05	0.0022289371230157025	0.002685466413271931	1.4269742965698242	1.4269742965698242	0.3731980792878554	0.37319807928785553	0.7463961414693282	0.0	0.04118730127811432	0	
40.61	1.7644371837377548e-05	1.8166224751143467	0	0	1	0	0	1	0.007123891729861498	2.267686795676127e-05	0.0014324244761536287	0.0016656098559925917	1.2817347049713135	1.2817347049713135	0.053454106433123684	0.053454106433123684	0.10690821124407682	0.0	0.0005720688495784998	1	
41.42	1.999759115278721e-05	2.8863341246323	0	0	1	0	0	1	0.0032879204954952	-1.5015872122603469e-05	-0.0047357669560077744	-0.005846625871614536	1.4907798767089844	1.4907798767089844	0.016311225559649496	0.016311225559649496	0.032622450109658266	0.0	2.923577994806692e-06	1	
42.23	1.6217119991779327e-05	3.9740299338320497	0	0	0	0	0	1	0.009636171162128448	3.558092794264667e-05	0.007837346502016356	0.009675736422242414	0.27688485383987427	0.27688485383987427	2.365130690195896e-08	2.365130690195896e-08	4.730261536922411e-08	0.0	1.3228442341528535e-08	1	
43.02	1.8476508557796478e-05	3.505997030869768	0	0	1	0	0	1	0.0028565337415784597	-2.1475489120348357e-05	-0.00858181951968353	-0.010863062683143708	1.4418965578079224	1.4418965578079224	4.075522920219723e-26	4.0755229202196654e-26	4.075522920219723e-26	0.0	1.246434209178915e-07	1	
43.87	1.9975006580352783e-05	3.10048035370019	0	0	1	0	0	0	0.09421802312135696	2.888251401600428e-05	0.1074841051526806	0.12645188841491836	1.5	1.5	9.26766864611728e-21	9.26766864611728e-21	1.8535342875818148e-20	0.0	8.786821581452386e-07	1	
44.69	1.689535565674305e-05	3.0535461003330524	0	0	1	0	0	1	0.009590493515133858	3.303411722299643e-05	-0.10320430439783307	-0.12585890780223546	1.4989985227584839	1.4989985227584839	6.971042890308281e-14	6.971042890308281e-14	1.3942086099135137e-13	0.0	1.1388043503757217e-06	1	
45.55	2.1644867956638336e-05	3.4255803336088704	0	0	1	0	0	1	0.0059385462664067745	2.7032283469452523e-05	-0.0042464502892175385	-0.004937732894438998	1.5	1.5	1.1569540950549241e-09	1.1569540950549241e-09	2.3139080721210907e-09	0.0	2.0439354386780906e-07	1	
46.36	1.582014374434948e-05	4.081534718543496	0	0	0	0	0	1	0.0025886420626193285	3.3184041967615485e-05	-0.004135684202206723	-0.005105782965687313	1.4850014448165894	1.4850014448165894	9.858084190520485e-08	9.858084190520485e-08	1.971616831731083e-07	0.0	7.292944026460191e-09	1	
47.18	1.9881874322891235e-05	4.9193926438455415	0	0	0	0	0	0	0.010036115534603596	3.42896455549635e-05	0.009082284721932034	0.011075956977965897	1.4890486001968384	1.4890486001968384	3.317192465924403e-07	3.317192465924403e-07	6.634384817839258e-07	0.0	9.496274600007126e-11	1	
47.98	1.8183374777436256e-05	5.860525318047675	0	0	0	0	0	0	0.09356740117073059	2.0627099729608744e-05	0.10441410704515874	0.13051763380644843	1.4842662811279297	1.4842662811279297	3.078850112058327e-07	3.0788501120583154e-07	6.157700282426568e-07	0.0	7.999612799437783e-13	1	
48.77	1.808488741517067e-05	6.847503388061585	0	0	0	0	0	1	0.003893323941156268	-3.055807974305935e-05	-0.11351149016401813	-0.14368543058736472	1.4999028444290161	1.4999028444290161	2.734915238938417e-07	2.734915238938421e-07	5.46983032445002e-07	0.0	5.5269026863285185e-15	1	
49.62	1.9676517695188522e-05	7.94192535076701	0	0	0	0	0	1	0.0023930182214826345	1.3607890650746413e-05	-0.001765065552557216	-0.0020765477088908425	1.4999942779541016	1.4999942779541016	1.111319409876862e-07	1.111319409876862e-07	2.22263887299757e-07	0.0	2.2616332248339004e-17	1	
50.39	1.2076692655682564e-05	8.829923358002324	0	0	0	0	0	1	0.004670894704759121	2.7761818273575045e-05	0.00295828114711232	0.003841923567678337	0.4139951467514038	0.4139951467514038	1.7422877436489403e-07	1.7422877436489403e-07	3.4845756220635124e-07	0.0	2.629809051074326e-19	0	
51.16	2.3005763068795204e-05	8.041737182080272	0	0	0	0	0	1	0.0026751228142529726	5.0744063628371805e-05	-0.002591911546111881	-0.003366118891054391	1.3091052770614624	1.3091052770614624	3.752724624995712e-05	3.752724624995712e-05	7.505449285439785e-05	0.0	1.3439824624789068e-17	0	
51.94	1.5025492757558823e-05	7.10721938296787	0	0	0	0	0	1	0.008918414823710918	-1.0491646662558196e-06	0.008004220524946084	0.010261821185828314	1.2920528650283813	1.2920528650283813	3.4179102412755264e-05	3.417910241275514e-05	6.835820434368647e-05	0.0	1.4247043350840496e-15	0	
52.71	1.9231578335165977e-05	6.1616879737491415	0	0	0	0	0	1	0.00982738472521305	4.648148751584813e-05	0.001180480391561211	0.0015330914176119623	1.4568493366241455	1.4568493366241455	4.0570755391566294e-05	4.0570755391566375e-05	8.114150960016831e-05	0.0	1.5969129772870627e-13	0	
53.47	1.266971230506897e-05	5.226389729045333	0	0	0	0	0	1	0.002015786012634635	-5.592715024249628e-05	-0.01027841935865581	-0.01352423599823133	1.4660736322402954	1.4660736322402954	1.1738349894444419e-05	1.1738349894444378e-05	2.3476699607131033e-05	0.0	1.7026881640735958e-11	0	
54.25	2.2448599338531494e-05	4.289065542691773	0	0	0	0	0	1	0.0038175194058567286	2.823846079991199e-05	0.0023099146066949917	0.002961428982942297	1.4883079528808594	1.4883079528808594	1.4108344211193405e-06	1.410834421119343e-06	2.8216688641690205e-06	0.0	1.8505709187266461e-09	0	
55.04	1.590023748576641e-05	3.5412437556227028	0	0	1	0	0	0	0.09350654482841492	-1.84375330718467e-05	0.11353041192728884	0.14370938218644155	1.498599648475647	1.498599648475647	2.1366607871236685e-06	2.1366607871236685e-06	4.27332168333623e-06	0.0	8.001435958249203e-08	0	
55.76	1.677614636719227e-05	3.0842855962402167	0	0	1	0	0	1	0.0029028980061411858	4.6031495003262535e-05	-0.12583839836426908	-0.17477555328370706	1.1548532247543335	1.1548532247543335	1.1416006215162685e-16	1.1416006215162685e-16	2.2832011875790725e-16	0.0	8.07064566288318e-07	0	
56.37	1.5669036656618118e-05	2.3064664465401012	0	0	1	0	0	1	0.006338581442832947	2.562306690379046e-05	0.0056322679290028875	0.009233226113119488	1.481335163116455	1.481335163116455	7.699784591975998e-21	7.699784591976106e-21	1.5399533931614768e-20	0.0	3.843587182927877e-05	0	
